,Formula,0,10,20,25,30,40,50,60,70,80,90,100
0,AgBrO3,,,,0.193,,,,,,,1.32,
1,AgClO2,0.17,0.31,0.47,0.55,0.64,0.82,1.02,1.22,1.44,1.66,1.88,2.11
2,AgClO3,,,,15.0,,,,,,,,
3,AgClO4,81.6,83.0,84.2,84.8,85.3,86.3,86.9,87.5,87.9,88.3,88.6,88.8
4,AgNO2,0.155,,,0.413,,,,,,,,
5,AgNO3,55.9,62.3,67.8,70.1,72.3,76.1,79.2,81.7,83.8,85.4,86.7,87.8
6,Ag2SO4,0.56,0.67,0.78,0.83,0.88,0.97,1.05,1.13,1.2,1.26,1.32,1.39
7,AlCl3,30.84,30.91,31.03,31.1,31.18,31.37,31.6,31.87,32.17,32.51,32.9,33.32
8,Al(ClO4)3,54.9,,,,,,,,,,64.4,
9,AlF3,0.25,0.34,0.44,0.5,0.56,0.68,0.81,0.96,1.11,1.28,1.45,1.64
10,Al(NO3)3,37.0,38.2,39.9,40.8,42.0,44.5,47.3,50.4,53.8,,,61.5
11,Al2(SO4)3,27.5,,,27.8,28.2,29.2,30.7,32.6,34.9,37.6,40.7,44.2
12,As2O3,1.19,1.48,1.8,2.01,2.27,2.86,3.43,4.11,4.89,5.77,6.72,7.71
13,BaBr2,47.6,48.5,49.5,50.0,50.4,51.4,52.5,53.5,54.5,55.5,56.6,57.6
14,Ba(BrO3)2,0.285,0.442,0.6559999999999999,0.7879999999999999,0.935,1.3,1.74,2.27,2.9,3.61,4.4,5.25
15,Ba(C2H3O2)2,37.0,,,44.2,,,,,,,,
16,BaCl2,23.3,24.88,26.33,27.03,27.7,29.0,30.27,31.53,32.81,34.14,35.54,37.05
17,Ba(ClO2)2,30.5,,,31.3,,,,,,,,44.7
18,Ba(ClO3)2,16.9,21.23,23.66,27.5,29.43,33.16,36.69,40.05,43.04,45.9,48.7,51.17
19,Ba(ClO4)2,67.3,70.96,74.3,75.75,77.05,79.23,80.92,82.21,83.16,83.88,84.43,84.9
20,BaF2,,0.158,,0.161,,,,,,,,
21,BaI2,62.5,64.7,67.3,68.8,69.1,69.5,70.1,70.7,71.3,72.0,72.7,73.4
22,Ba(IO3)2,0.0182,0.0262,0.0342,0.0396,0.045,0.057999999999999996,0.073,0.09,0.109,0.131,0.156,0.182
23,Ba(NO2)2,31.1,36.6,41.8,44.3,46.8,51.6,56.2,60.5,64.6,68.5,72.1,75.6
